央视,#genre#
湖南卫视,HUNANTV1&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000207.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000207?AuthInfo=xxx&userid=
浙江卫视,ZJTV1&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000224.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000224?AuthInfo=xxx&userid=
浙江卫视,ZJTV1&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000206.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000206?AuthInfo=xxx&userid=
江苏卫视,JSTV1&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000225.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000225?AuthInfo=xxx&userid=
江苏卫视,JSTV1&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000205.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000205?AuthInfo=xxx&userid=
东方卫视,DONGFANG1&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000232.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000232?AuthInfo=xxx&userid=
东方卫视,DONGFANG1&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000199.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000199?AuthInfo=xxx&userid=
北京卫视,BTV1&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000229.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000229?AuthInfo=xxx&userid=
北京卫视,BTV1&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000204.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000204?AuthInfo=xxx&userid=
安徽卫视,AHTV1&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000296.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000296?AuthInfo=xxx&userid=
安徽卫视,AHTV1&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000200.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000200?AuthInfo=xxx&userid=
贵州卫视,GUIZOUTV1&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000340.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000340?AuthInfo=xxx&userid=
贵州卫视,GUIZOUTV1&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000196.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000196?AuthInfo=xxx&userid=
天津卫视,TJTV1&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000223.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000223?AuthInfo=xxx&userid=
天津卫视,TJTV1&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000186.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000186?AuthInfo=xxx&userid=
